\Fermi data of RX J1713.7-3946
\
\cl=0.95
|     energy|energy_edge_lo|energy_edge_hi|         flux|flux_error_hi|flux_error_lo|  ul|
|     double|        double|        double|       double|       double|       double|long|
|         eV|            eV|            eV|erg / (cm2 s)|erg / (cm2 s)|erg / (cm2 s)|    |
|       null|          null|          null|         null|         null|         null|null|    
 2.74805e+08    2.07526e+08    3.57146e+08   8.36982e-12   0.00000e+00   0.00000e+00    1
 4.81867e+08    3.70771e+08    6.03237e+08   5.02649e-12   0.00000e+00   0.00000e+00    1
 7.83987e+08    6.26250e+08    1.00000e+09   3.89528e-12   0.00000e+00   0.00000e+00    1
 1.32419e+09    1.01890e+09    1.75349e+09   4.86882e-12   2.04426e-12   2.03657e-12    0
 2.32195e+09    1.78662e+09    3.07472e+09   7.13695e-12   1.97529e-12   1.94769e-12    0
 4.14845e+09    3.13282e+09    5.49335e+09   7.93685e-12   1.87882e-12   1.91548e-12    0
 7.27426e+09    5.49335e+09    9.63252e+09   1.13896e-11   2.11016e-12   2.27741e-12    0
 1.29963e+10    1.00000e+10    1.68905e+10   1.20110e-11   2.53098e-12   2.60365e-12    0
 2.27889e+10    1.72097e+10    3.01769e+10   2.06477e-11   3.56679e-12   3.77386e-12    0
 4.07152e+10    3.07472e+10    5.39147e+10   2.32071e-11   4.59334e-12   4.83655e-12    0
 7.13935e+10    5.39147e+10    9.45387e+10   1.42362e-11   5.13642e-12   5.40983e-12    0
 1.27553e+11    9.81454e+10    1.65772e+11   2.34549e-11   8.80337e-12   8.91296e-12    0
 2.23663e+11    1.72097e+11    2.79998e+11   2.66438e-11   1.24120e-11   1.24076e-11    0 
